standard_family_id,standard_family_key
FAM-1D88233E1282,IS 5749
FAM-08B595DC17DF,IS 19730
FAM-D4810FFE9060,IS 19664
FAM-A93EFC2188CB,IS 19663
FAM-54F2B72A85A9,IS 19732
FAM-458F177D49DE,IS 17141
FAM-7A311004D12C,IS 16237
FAM-C5C963D2ED97,IS 16635
FAM-60093D867B62,IS 6457
FAM-7D1289EFBB68,IS 10203
FAM-ADB962D23F04,IS 14478
FAM-D6431E91FDDD,IS 15624
FAM-10D9B6DD6FB2,IS 12576
FAM-8BA707D27649,IS 5311
FAM-CD4DB052B558,IS 411
FAM-094F06F89476,IS 19689
FAM-CBA4F64ED597,IS 19688
FAM-C3F40B89901F,IS 19585
FAM-BE03888A0B9E,IS 19532
FAM-465432529A93,IS 19533
FAM-76DCFC63A53D,IS 17120
FAM-CA1172F630AC,IS 6822
FAM-39595ADAB50D,IS 10101
FAM-306F0B0B5953,IS/ISO 30302
FAM-2D5D5DE3F6EC,IS 19611
FAM-C9598F1EC091,IS 19282
FAM-4B5F6D228EF4,IS 18292
FAM-43D6948727BD,IS 19489
FAM-EC3A3A12FD6B,IS 19492
FAM-C90C5B924445,IS 19613
FAM-4E99DBB01CDF,IS 19720
FAM-95693EE07D0D,IS 19693
FAM-19E174660BB5,IS 19669
FAM-3EA7F17E21AD,IS 19686
FAM-0277509BE8E2,IS 7983
FAM-C6B46D27CD52,IS 3008
FAM-F95520F57867,IS 3090
FAM-03DA30D1A460,IS 16137
FAM-A55AA6DFDE8A,IS 16605
FAM-DA4981BB9E57,IS 1434
FAM-B59C7276FEF5,IS 3980
FAM-B1C0F4FA943F,IS 3047
FAM-E0DB75B2DD49,IS/ISO 6621
FAM-602F2F607700,IS 19596
FAM-6F51EB238FEC,IS 19712
FAM-B716D6342B84,IS 19602
FAM-736DE3997B8F,IS 19695
FAM-34D0570F61F0,IS 18305
FAM-B3566B4CE013,IS/ISO 8559
FAM-948256E11D2A,IS 13063
FAM-67C439EE61ED,IS 12608
FAM-415507E20804,IS 5421
FAM-12BD7B0B5693,IS 2265
FAM-668C8803F22F,IS 19511
FAM-BC8784C8859C,IS 19517
FAM-9004E05C2AFB,IS 19531
FAM-7ED303E9ECED,IS 19527
FAM-84B0F80F2E56,IS 19644
FAM-A2CEA3593CC7,IS 6542
FAM-2992ACDEBDA8,IS 19612
FAM-416165DC2740,IS 19329
FAM-E01896CD8E31,IS 19690
FAM-5D41B45B08D3,IS 8181
FAM-79E9748F298D,IS 9378
FAM-C78A7FB76728,IS 8772
FAM-C384E2BAE524,IS 19724
FAM-EB855C030F0E,IS 19714
FAM-515845559815,IS 19716
FAM-2DF6C2FA75D9,IS 19715
FAM-AD7BF4D9D699,IS 19677
FAM-FD76DB1FCABC,IS 19676
FAM-7EE638141E89,IS 19680
FAM-CDA0D63B3914,IS 19679
FAM-6FDD77970CB3,IS 19678
FAM-3BA48936D501,IS 19717
FAM-9BA0C2410C82,IS 19721
FAM-4560C4F4A5DC,IS 19718
FAM-E7F9617176A7,IS 19722
FAM-1BC8AFA14082,IS 19719
FAM-308A6D988E73,IS 16194
FAM-F667EF6943C0,IS 16789
FAM-A9671FA0AED1,IS/ISO 14533
FAM-629EB6156DA5,IS 18474
FAM-5D06973DED5D,IS 18294
FAM-3B4082177403,IS 18344
FAM-3591843330CD,IS 1984
FAM-24C2AE139DA5,IS 18879
FAM-9523DC929EEC,IS 19594
FAM-1BDAB81F5D50,IS 19656
FAM-1F589C524AB3,IS 19593
FAM-E97555CF49DD,IS 19725
FAM-72D944B69642,IS 19662
FAM-AA85EF054631,IS 19713
FAM-081284F006A8,IS 19709
FAM-5AF26D813752,IS 7163
FAM-4D2E92AFB13C,IS 5191
FAM-2AF160A99CBB,IS 2557
FAM-0A55E2DB8513,IS 8153
FAM-8DEC7009475A,IS 868
FAM-0AC2C601F536,IS 8497
FAM-DB51F18E6111,IS 9358
FAM-DFC1967A87D0,IS 13454
FAM-8694E7C17F76,IS 13456
FAM-0BF112654EEC,IS 13328
FAM-53C7BB295702,IS 13785
FAM-6B0EE92D95EF,IS 14549
FAM-57B0ACD9A664,IS 3387
FAM-37BC348396CA,IS 7415
FAM-3494C0D9D7E1,IS 1312
FAM-832EBC89C679,IS 19562
FAM-149F94D7FFBE,IS 19575
FAM-33857A5532BA,IS 19522
FAM-C1FAB54815CC,IS 19561
FAM-9C16E5836C5A,IS 14700
FAM-3BF630D5AF49,IS 15040
FAM-C27601B1F8E2,IS/IEc 62232
