path_id,start_entity_id,end_entity_id,path_json,validation_status
PATH-2ABB01F3660CF432,MSV1-820B012584A52390,MSV1-820B012584A52390,"[""MSV1-820B012584A52390""]",INFERRED_FAMILY_PATH
PATH-91142B180C30063D,MSV1-18313FA2735ECF68,MSV1-18313FA2735ECF68,"[""MSV1-18313FA2735ECF68""]",INFERRED_FAMILY_PATH
PATH-452BB303A8CE8A0F,MSV1-1674BC7C9919580A,MSV1-1674BC7C9919580A,"[""MSV1-1674BC7C9919580A""]",INFERRED_FAMILY_PATH
PATH-0B19250297D73083,MSV1-D6366A07B9CBEDB6,MSV1-D6366A07B9CBEDB6,"[""MSV1-D6366A07B9CBEDB6""]",INFERRED_FAMILY_PATH
PATH-4F32128F82DA7BC2,MSV1-33FD241252FF632B,MSV1-33FD241252FF632B,"[""MSV1-33FD241252FF632B""]",INFERRED_FAMILY_PATH
PATH-FC83BA007FBCD6C7,MSV1-E9E542C8F514F61E,MSV1-E9E542C8F514F61E,"[""MSV1-E9E542C8F514F61E""]",INFERRED_FAMILY_PATH
PATH-789927AE650C8CB6,MSV1-5B1A33476C507305,MSV1-5B1A33476C507305,"[""MSV1-5B1A33476C507305""]",INFERRED_FAMILY_PATH
PATH-9DE9B9E16F55752B,MSV1-538920CB56DD029F,MSV1-538920CB56DD029F,"[""MSV1-538920CB56DD029F""]",INFERRED_FAMILY_PATH
PATH-43DC4547A6591974,MSV1-2FD458EBABB5E1CC,MSV1-2FD458EBABB5E1CC,"[""MSV1-2FD458EBABB5E1CC""]",INFERRED_FAMILY_PATH
PATH-E30428E29ABEC451,MSV1-E28E95401057D961,MSV1-86BFA5CEBFE4DB89,"[""MSV1-E28E95401057D961"", ""MSV1-86F2DD3D92CFEE4E"", ""MSV1-85F851C3B2EA3265"", ""MSV1-86BFA5CEBFE4DB89""]",INFERRED_FAMILY_PATH
PATH-9E275A4BD825155D,MSV1-A6DAAB612966BB82,MSV1-A6DAAB612966BB82,"[""MSV1-A6DAAB612966BB82""]",INFERRED_FAMILY_PATH
PATH-D98EECDE98E2543F,MSV1-0B5A4115460D64A9,MSV1-0B5A4115460D64A9,"[""MSV1-0B5A4115460D64A9""]",INFERRED_FAMILY_PATH
