reference_id,from_standard_id,to_standard_id,relationship_type,evidence,source,validation_status
REF-772F52DF4F0ABFB3,MSV1-6E2AC4A879DA5C3E,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-A848A0880D57914A,MSV1-1C3D1AA19851F6FF,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-27B41556F4EA84C9,MSV1-B9D1FE08BA19B57A,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-45BBADE4AE907DC9,MSV1-7451C258E34A751F,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-ECECCAEE3A11832D,MSV1-64EB12ECDD1A95D0,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-168CEE3E23AEA052,MSV1-66867C227F828F27,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-B6A3F8DCC5C1C733,MSV1-DF3ED66004F6B364,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-598D6DFADC679D02,MSV1-B037D56F0ED5BAED,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-8DCA4B3ECCA03C54,MSV1-AE53EE491FC386E3,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-203F14B17DEE2E9F,MSV1-5BD5EE33863BBF72,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-304C3751085C530A,MSV1-698C080561EB07EC,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-CDD2586FD8D3816A,MSV1-23D3C2D3A60BC824,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-0E11968758AB6ADE,MSV1-55A346C419609FAE,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-879CB970FBD4465B,MSV1-01D376125BA0F557,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-402F1A42E38E895C,MSV1-D3876678EC2A0499,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-425E3CE6C52BCE92,MSV1-A92FA5B8E06BF287,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-A7841F1E33A7D299,MSV1-5FFC9FE2B0387F2D,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-4DE8D93E88CD95EC,MSV1-82F0E9CD35E8A931,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-3B1C40D6034AD012,MSV1-A7DCF70681073EAE,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-7BBFDBDA15951B7A,MSV1-91EF7F4B938D71E1,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-7F710D6361B08A48,MSV1-37560BE34E3558A6,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-DAA954BB9AF60964,MSV1-9A31F5182B4BEF80,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-A81E1157FB415C4D,MSV1-31DE370A379FB808,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
